Name;Birthday;Countries Active;Years Active;Proven Victims;Possible Victims;BirthYear;StartYear;Age At The Start of Killing;Notes;Type;Nickname;Reason;Archetype/Classification;Gender;Victim Age;Victim Gender;Targeted Group Type
Harold Shipman;1/14/1946;United Kingdom;1975-1998;218;250;1946;1975;29;Convicted of 15 murders and responsible for the deaths of 218 patients identified by inquiry but is believed to have killed up to 250 people. He injected diamorphine into his patients and then falsified the medical records, reporting that his patient had ;Hate Crime, Medical;Dr Death Angel of Death;Power;Power/Control;Male;Adult;Mixed;None
Miyuki Ishikawa;;Japan;1940s;103+;169;;1940;;Killed more than 103 newborn children. As a maternity nurse she killed infants born to parents unwilling to care for them during the prohibition of abortion in Japan. Arrested in 1948 and sentenced to four years in prison.;Medical;;Power;Power/Control;Female;Child;Mixed;None
Niels H??gel;12/30/1976;Germany;1999-2005;100;300;1976;1999;23;Nurse who was sentenced to life imprisonment for the murder of more than 85 people. In November 2017, German prosecutors said that the number of victims was at least 106, with H??gel admitting, in October 2018, to murdering 100 patients. By May 2019, he w;Hate Crime, Medical;;Power;Power/Control;Male;Adult;Male;None
Louay Omar Mohammed al-Taei;;Iraq;2005-2006;43;;;2005;;"Medical doctor found to have killed 43 wounded policemen, soldiers and officials in Kirkuk; was a member of an insurgent cell.";Medical;;Power;Power/Control;Male;Adult;Male;None
Donald Harvey;4/15/1952;United States;1970-1987;37;57-87;1952;1970;18;Self-professed Angel of Death. Worked as an orderly in Cincinnati-area hospitals and preyed on his patients. Claimed to have killed 87 patients starting at age 18. Active 1970-1987. Sentenced to 28 life sentences in Ohio.;Hate Crime, Medical;Angel of Death;Power;Power/Control;Male;Adult;Mixed;None
Jane Toppan;3/31/1854;United States;1885-1901;31;;1854;1885;31;Nurse that confessed to poisoning 31 patients for her own sexual gratification. After overdosing them she would get in bed and lie with them as they died. Found not guilty by reason of insanity and interned in a mental institution until her death in 1938.;Hate Crime, Medical, Sexual Predator;Angel of Death, Jolly Jane;Sexual Assault;Hedonistic - Lust;Female;Adult;Male;Elderly
Stephan Letter;9/17/1978;Germany;2003-2004;29;29+;1978;2003;25;"Nurse who killed 29 patients; sentenced to life imprisonment in 2006.";Hate Crime, Medical;;Power;Power/Control;Male;Adult;Male;Elderly
Anders Hansson;;Sweden;1978-1979;27;;;1978;;"A Nurse Aide who poisoned victims with gevisol and ivisol. His actions were called ""The Hospital Murders"" (Swedish: Sjukhusmorden).";Medical;;Power;Power/Control;Male;Adult;Mixed;None
Marcel Petiot;1/17/1897;France;1926-1944;26;63;1897;1926;29;Active 1926 and from 1942 to 1944. Petiot is suspected of having killed up to 63 in total. Executed in 1946. Petiot was a doctor who formerly served as mayor of Villeneuve-Sur-Yonne. Dr. Mike Aamodt from Radford University states he had an IQ of 130.;Medical;Captain Valery, Docteur Satan;Power;Power/Control;Male;Adult;Mixed;None
Arnfinn Nesset;10/25/1936;Norway;1983 and earlier;22;138+;1936;;;"Norwegian nurse and most prolific known serial killer in Scandinavian history, convicted in 1983 of poisoning at least 22 patients with Curacit; however he initially confessed to 27 murders; later he retracted his confessions and claimed he had killed 138";Hate Crime, Medical;;Power;Power/Control;Male;Adult;Male;Elderly
Roger Andermatt;;Switzerland;1995-2001;22;22;;1995;;"Nurse who killed 22 patients; most prolific Swiss serial killer in history; sentenced to life imprisonment.";Hate Crime, Medical;Death-Keeper of Lucerne;Power;Power/Control;Male;Adult;Male;Elderly
Charles Cullen;2/22/1960;United States;1988-2003;29;35-400+;1960;1988;28;Charles Edmund Cullen an American serial killer worked as a nurse in many hospitals but kept switching jobs as he was fired for suspicious behaviour from many of them. He confessed to murdering 40 elderly patients in New Jersey from 1984 to 2003. He did t;Hate Crime, Medical;Angel of Death;Power;Power/Control;Male;Adult;Male;Elderly
Sonya Caleffi;7/21/1970;Italy;2003-2004;5;18;1970;2003;33;"Nurse who poisoned terminally-ill patients; sentenced to 20 years imprisonment.";Hate Crime, Medical;;Power;Power/Control;Female;Adult;Male;Elderly
Maxim Petrov;11/14/1965;Russia;2000-2002;12;19;1965;2000;35;Doctor who killed his patients in St. Petersburg. Suspected of 19 murders.;Hate Crime, Medical;;Power;Power/Control;Male;Adult;Mixed;Elderly
Ann Arbor Hospital Killer;;United States;1975;10;10;;1975;;Poisonings of 10 patients at the Veteran's Administration Hospital in 1975. Filipino nurses Filipina Narciso and Leonora Perez were tried for the crimes.;Hate Crime, Medical;;Power;Power/Control;Male;Adult;Mixed;Elderly
Ludivine Chambet;05.10.1983;France;2012-2013;10;10;1983;2012;29;"Nurse's aide who poisoned elderly patients; sentenced to 25 years imprisonment.";Hate Crime, Medical;The Poisoner of Chamb??¬©ry;Power;Power/Control;Male;Adult;Male;Elderly
Petr Zelenka;2/27/1976;Czech Republic;2006;7;21;1976;2006;30;Killed his victims with a lethal injection of heparin from May to September 2006. Ten people survived his murder attempt. Suspected of up to 14 additional murders.;Medical;;Power;Power/Control;Male;Adult;Mixed;None
Orville Lynn Majors;4/24/1961;United States;1993-1995;6;130;1961;1993;32;LPN in Vermillion County Ind., Preyed on elderly patients, thought to have killed many of them with injections of potassium chloride. Sentenced to 360 years in Indiana.;Hate Crime, Medical;;Power;Power/Control;Male;Adult;Male;Elderly
Efren Saldivar;9/30/1969;United States;1989-1997;6;50+;1969;1989;20;Respiratory therapist who killed six patients, possibly as many as 120.;Hate Crime, Medical, Sexual Predator;;Power;Power/Control;Female;Adult;Male;Elderly
Christine Mal?vre;01.10.1970;France;1998 and earlier;6;30;1970;;;Nurse who killed terminally ill patients claiming that they had asked her to help them die, something denied by their families. Sentenced to 12 years in prison for six murders and suspect of 30.;Hate Crime, Medical;;Mental Illness;Power/Control;Female;Adult;Mixed;Elderly
Antoinette Scieri;;France;1924-1925;6;12+;;1924;;Nurse who poisoned her elderly patients. Death sentence was commuted to life in prison and she died in prison.;Hate Crime, Medical;;Power;Power/Control;Female;Adult;Mixed;Elderly
Kristen Gilbert;11/13/1967;United States;1990-1996;5;70+;1967;1990;23;Nurse at a Massachusetts Veterans Medical Center who injected male patients with epinephrine, causing heart attacks. Sentenced to life without parole.;Hate Crime, Medical;;Power;Power/Control;Male;Adult;Male;Males
Amy Archer-Gilligan;10/31/1873;United States;1910-1917;5;48+;1873;1910;37;A nursing home proprietor believed to have poisoned as many as 60 patients from her homes and her second husband. Charged with five murders originally, this was lowered to just one following her admission of guilt, and was found guilty of second degree mu;Medical;Amy E. Duggan, Sister;Power;Power/Control;Male;Adult;Male;None
Michael Swango;10/21/1954;United States?Ç¬†Zimbabwe;1981-1997;4;35-60+;1954;1981;27;Medical Doctor who killed patients.;Hate Crime, Medical;;Power;Power/Control;Male;Adult;Mixed;None
Kermit Gosnell;02.09.1941;United States;1989?-2011;4;100+;1941;;;Gosnell, who ran an abortion clinic, was charged with eight and convicted of four murders. Three babies were born alive, then killed by cutting the infant's spine with scissors. One mother died due to complications. Testimony indicated hundreds of similar;Medical;;Power;Power/Control;Male;Child;Mixed;None
Edson Izidoro Guimar?es;;Brazil;1999 and earlier;4;131;;;;"Nurse who injected patients with potassium chloride or removed their oxygen mask. Confessed to five murders which he claimed to be mercy killings and was convicted of four in 2000; sentenced to 76 years in prison. He may have killed as many as 131 patient";Medical;;Power;Power/Control;Male;Adult;Male;Elderly
Richard Angelo;8/29/1962;United States;1987;4;25;1962;1987;25;New York nurse convicted of four murders, linked to six other deaths. Suspected of killing up to 25 people.;Medical;The Angel of Death;Power;Power/Control;Female;Adult;Mixed;None
Beverley Allitt;10.04.1968;United Kingdom;1991;4;-;1968;1991;23;Convicted of murdering four children and attacking another six in the Lincolnshire hospital where she worked as a nurse. Given 13 life sentences.;Medical;;Power;Power/Control;Female;Child;Mixed;None
AndrÈs Ulises Castillo Villarreal;;Mexico;2009-2015;3;12+;;2009;;"Drugged, raped and then killed men in Chihuahua; sentenced to 120 years imprisonment.";Medical, Rapist, Sexual Predator;The Chihuahua Ripper;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Elfriede Blauensteiner;1/22/1931;Austria;1981-1995;3;10+;1931;1981;50;"Poisoned people for material gain; died from a brain tumor in 2003.";Financial Motive, Medical;The Black Widow;Financial Gain;Hedonistic;Male;Adult;Mixed;None
Carl Eugene Watts;11.07.1953;United States;1974-1982;14;80+;1953;1974;21;"Believed to have killed over 80 women in multiple states, in 1982 Watts accepted a plea bargain in Texas in which he would plead guilty to a lesser charge and be granted immunity from murder charges in exchange for providing information on his victims; as";Financial Motive, Serial Killer, Strangler, Stalker;Coral Watts, The Sunday Morning Slasher;Financial Gain;Hedonistic;Male;Adult;Female;None
Philipp Tyurin;;Soviet Union;1945-1946;14;29;;1945;;"Murdered people for monetary reasons at his hut in Leningrad; executed 1947.";Financial Motive;Leningrad Maniac, The Hellraiser;Financial Gain;Hedonistic;Male;Adult;Mixed;None
Zdzis≥aw Marchwicki;10/18/1927;Poland;1964-1970;14;21+;1927;1964;37;"Killed 14 women in 1964-1970 in Poland's region of Dπbrowa Basin. Zdzislaw Marchwicki was most likely the man responsible for the killings; however, his guilt remains in dispute. Executed in 1977.";Unknown;Vampire of Zag≥Íbie;Femicide;Power and Hedonistic;Male;Adult;Female;None
Pietro Pacciani;;Italy;1968-1985;14;16;;1968;;Unidentified killer who shot couples in lovers lanes and mutilated the women, taking their sexual organs and in the last two cases, also their left breast. 69-year-old farmer Pietro Pacciani was controversially convicted of 14 crimes in 1994 and sentenced;Sexual Predator;The Monster of Florence;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Joachim Kroll;4/17/1933;West Germany;1955-1976;14;;1933;1955;22;Died from a heart attack in prison in 1991.;Cannibal, Cannibal, Strangler, Rapist, Necrophiliac, Sexual Predator;Ruhr Cannibal, The Duisburg Man-Eater;Cannibalism, Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Arthur Shawcross;06.06.1945;United States;1972-1989;14;;1945;1972;27;Committed arson and burglary, served two years of a five-year sentence. Within a year of his release, he raped and murdered two children in 1972. Under a plea bargain, he was sentenced to 25 years. Released after serving 141/2 years, he began killing agai;Strangler;Genesee River Killer, Genesee River Strangler, Rochester Strangler, Monster of the Rivers;Power, Sexual Assault;Hedonistic;Male;Child;Female;None
